index,corso_laurea,anno,post_unirsm,oggi_sei,soddisfazione,lavoro_design,occupazione,parole_chiavi,voto_unirsm,amore_trovato,amore_corrisposto,amore_oggi,figli,quanti_figli
97,Triennale,2010,Magistrale (non Unirsm),Libero professionista,8,Si,Allestimento; Marketing e Advertising,,9,Si,Si,No,No,
98,Triennale,2015,Ci sto riflettendo ,Disoccupato,,Attualmente non sto lavorando,Attualmente non sto lavorando; Altro,,8,No,No,No,No,
99,Triennale,2012,Non ho proseguito gli studi,Dipendente,8,Si,Design engineering; Ricerca e sviluppo in azienda,"Precisione, autonomia, intraprendenza",8,No,No,No,No,
100,Triennale,2015,Non ho proseguito gli studi,Dipendente,6,Si,Illustrazione; Marketing e Advertising,,7,,,,,
101,Triennale,2009,Non ho proseguito gli studi,Dipendente,6,Si,Social media management; Graphic design,,8,Si,Si,No,No,
102,Triennale,2011,Magistrale (non Unirsm),Dipendente,8,Si,Editoria; Calligrafia,"Duci, circolarità, curiosità",10,Si,,,No,
103,Triennale,2015,G,G,8,Attualmente non sto lavorando,Attualmente non sto lavorando; F,,8,,,,,
104,Triennale,2015,Stage,Stagista,6,Si,Design engineering; Progettazione di interni,"Ingegneria, trimidensionale, progettazione ",5,Si,Si,No,No,
105,Triennale,2016,Non ho proseguito gli studi,Sto ancora studiando,,Si,Design engineering; Progettazione di interni,,9,No,Si,No,No,
106,Triennale,2015,Non ho proseguito gli studi,Stagista,8,Si,Art direction; Brand identity,"comunicazione, serietà, multidisciplinarietà",8,No,No,No,No,
107,Triennale,2015,Non ho proseguito gli studi,Stagista,7,Si,Design engineering; Ricerca e sviluppo in azienda,,8,No,No,No,No,
108,Magistrale,2016,Non ho proseguito gli studi,Sto ancora studiando,,Attualmente non sto lavorando,Video e multimedia; Interaction design,,9,,,,,
109,Entrambe,2014,magistrale unirsm,Sto ancora studiando,,Attualmente non sto lavorando,Sviluppo web e app; Video e multimedia,,10,Si,Si,Si,No,
110,Entrambe,2012,Non ho proseguito gli studi,Sto ancora studiando,9,Attualmente non sto lavorando,Editoria; Sviluppo web e app,nessuna,8,Si,Si,No,No,
111,Triennale,2009,Non ho proseguito gli studi,Dipendente,9,Si,Ricerca e sviluppo in azienda; Design occhiali,"ricerca, dettagli, team",10,Si,Si,No,No,
112,Magistrale,2015,Non ho proseguito gli studi,Dipendente,7,Si,Interaction design; Ricerca e sviluppo in azienda,"dinamico, metodo, ricerca",8,No,No,No,No,
113,Triennale,2013,Magistrale (non Unirsm),Sto ancora studiando,,No,Social media management; Project mangement,,7,Si,Si,No,No,
114,Triennale,2014,Non ho proseguito gli studi,Dipendente,5,Si,Editoria; Fotografia,,8,No,No,No,No,
115,Triennale,2010,Non ho proseguito gli studi,Dipendente,10,Si,Marketing e Advertising; Art direction,"Pianificazione, progettazione, ricerca",10,No,No,No,No,
116,Triennale,2005,Magistrale (non Unirsm),Libero professionista,7,Si,Illustrazione; Editoria,sperimentazione - collaborazione - trasformazione,10,No,No,No,No,
117,Triennale,2015,Non ho proseguito gli studi,Dipendente,8,Si,Progettazione di interni; Allestimento,"Empatia, Tecnico, Professionale",9,No,No,No,No,
118,Triennale,2013,Magistrale (non Unirsm),Sto ancora studiando,,Attualmente non sto lavorando,Allestimento; Marketing e Advertising,,6,Si,No,Si,No,
119,Magistrale,2014,Non ho proseguito gli studi,Dipendente,9,Si,Fotografia; Video e multimedia,"Creatività, versatilità, ascolto",8,No,No,No,No,
120,Triennale,2006,Non ho proseguito gli studi,Dipendente,3,No,Allestimento; gestione del personale,"Planning, condivisione, piano d’azione",5,No,No,No,No,
121,Triennale,2015,Non ho proseguito gli studi,Dipendente,8,Si,Editoria; Sviluppo web e app,"organizzazione, interdisciplinarietà, precisione",10,No,No,No,No,
122,Triennale,2005,Master,Libero professionista,6,Si,Interaction design; UI e UX,"Test usability, wireframe, prototipi interattivi ",7,Si,Si,Si,No,
123,Triennale,2006,Magistrale (non Unirsm),Libero professionista,5,Si,Editoria; Art direction,Strategia Sistema Comunicazione ,9,No,,,No,
124,Magistrale,2013,Non ho proseguito gli studi,Dipendente,7,Si,Interaction design; Service design,"Esperienza d’uso, confronto, test",7,No,,,No,
125,Triennale,2013,Non ho proseguito gli studi,Dipendente,9,Si,Attualmente non sto lavorando; Packaging,"Interdisciplinare, computer, organizzazione ",9,No,,,Si,1
126,Triennale,2015,Corso di specializzazione; Vorrei continuare a studiare,Disoccupato,,Attualmente non sto lavorando,Attualmente non sto lavorando; Altro,,9,No,No,No,No,
127,Triennale,2005,Non ho proseguito gli studi,Dipendente,9,No,Marketing e Advertising; Ricerca e sviluppo in azienda,"Puntualità, interdisciplinarieta, metodo",10,No,No,No,Si,2
128,Triennale,2006,Non ho proseguito gli studi,Dipendente,8,No,Art direction; Packaging,"Metodo, adattabilità, packaging",9,No,No,No,No,
129,Triennale,2006,Non ho proseguito gli studi,Libero professionista,7,Si,Progettazione di interni; Editoria,,8,No,,,No,
130,Triennale,2007,Non ho proseguito gli studi,Dipendente,8,No,Progettazione di interni; Allestimento,"Progettazione, tecnica, analisi ",7,No,No,No,Si,2
131,Triennale,2015,Non ancora ,Disoccupato,,Attualmente non sto lavorando,Progettazione di interni; Illustrazione,,8,No,,,,
132,Triennale,2014,Magistrale (non Unirsm),Sto ancora studiando,5,Attualmente non sto lavorando,Illustrazione; Editoria,"Ricerca, sperimentazione, concretezza",8,Si,Si,No,No,
133,Triennale,2015,Non ho proseguito gli studi,Dipendente,8,Si,Allestimento; Social media management,"Interdisciplinarità, precisione, curiosità",9,Si,Si,No,No,
